# cards,Card Name,Main or Sideboard,LinReg Coeff
2,"Teferi, Time Raveler ",M,4.256104811
3,"Uro, Titan of Nature's Wrath ",M,4.211320925
2,Breeding Pool ,M,4.030238781
2,"Jace, the Mind Sculptor ",M,3.776494502
1,Breeding Pool ,M,3.598076521
3,"Teferi, Time Raveler ",M,3.229780265
2,"Uro, Titan of Nature's Wrath ",M,3.208446437
1,Temple Garden ,M,3.096195862
4,Path to Exile ,M,2.55244678
2,Cryptic Command ,M,2.511295183
1,Snow-Covered Forest ,M,2.441334722
2,Supreme Verdict ,M,2.34975533
2,Snapcaster Mage ,M,2.242864843
3,Force of Negation ,M,2.23704593
2,Archmage's Charm ,M,2.208751671
5,Snow-Covered Island ,M,2.19707622
3,"Jace, the Mind Sculptor ",M,1.946945338
4,"Uro, Titan of Nature's Wrath ",M,1.620822124
1,Snow-Covered Plains ,M,1.592213542
2,"Teferi, Hero of Dominaria ",M,1.570850904
4,Misty Rainforest ,M,1.538825132
2,Mana Leak ,M,1.444665128
1,Hallowed Fountain ,M,1.35874663
2,Mystic Sanctuary ,M,1.066760455
3,"Teferi, Hero of Dominaria ",M,0.958551373
1,"Teferi, Time Raveler ",M,0.954786001
4,Flooded Strand ,M,0.84367696
2,Spell Queller ,M,0.55269339
4,Arcum's Astrolabe ,M,0.455888865
4,Ice-Fang Coatl ,M,0.455888865
4,Field of Ruin ,M,0.449813793
1,Snapcaster Mage ,M,0.331078287
1,Detention Sphere ,M,0.292813751
2,Snow-Covered Plains ,M,0.164276688
1,Supreme Verdict ,M,0.099768936
1,Polluted Delta ,M,0.065705308
1,Mana Leak ,M,-0.088380687
3,Arcum's Astrolabe ,M,-0.120494351
3,Ice-Fang Coatl ,M,-0.120494351
2,Deprive ,M,-0.12462967
1,Remand ,M,-0.240206943
4,Stoneforge Mystic ,M,-0.341130079
3,Flooded Strand ,M,-0.36797388
3,Hallowed Fountain ,M,-0.36797388
3,Snapcaster Mage ,M,-0.368771449
2,Brazen Borrower ,M,-0.380783765
1,Vendilion Clique ,M,-0.421709543
1,"Teferi, Hero of Dominaria ",M,-0.446623101
1,Spell Queller ,M,-0.470063052
1,Steam Vents ,M,-0.543830752
1,Dovin's Veto ,M,-0.54535178
4,Growth Spiral ,M,-0.546876097
3,Mana Leak ,M,-0.553983955
1,Glacial Fortress ,M,-0.594810699
1,Spell Snare ,M,-0.7144517
1,Mystic Sanctuary ,M,-0.718201161
2,Force of Negation ,M,-0.728432421
1,Monastery Mentor ,M,-0.741033782
6,Snow-Covered Island ,M,-0.742972863
1,Sword of Feast and Famine ,M,-0.774277258
1,"Ashiok, Dream Render ",M,-0.77786417
2,Shadow of Doubt ,M,-0.78103929
3,Archmage's Charm ,M,-0.796329189
3,Cryptic Command ,M,-0.861290747
3,Stoneforge Mystic ,M,-0.918072066
3,Mystic Sanctuary ,M,-0.945766554
4,Thought Scour ,M,-0.945766554
1,Brazen Borrower ,M,-0.998588902
1,Archmage's Charm ,M,-1.010376559
